Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Claremont Medical Centre,F86708,GPB,27 Claremont Road,Walthamstow,,London,Greater London,E17 5RJ,Tel: 02085271888,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86708,,,2731 patients,2731,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.20%,yes,29.09% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.09%,yes,yes
Higham Hill Medical Centre,F86679,GPB,258-260 Higham Hill Road,Walthamstow,,London,Greater London,E17 5RQ,Tel: 0208 527 2677,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86679,,,5946 patients,5946,,,Yes,yes,YES Contact practice for appointment availability,YES,,62.06% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,62.06%,yes,61.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,61.96%,yes,yes
Macmillan Way Surgery,Y02423004,GPB,Macmillan Way Medical Centre,103 Macmillan Way,Tooting,London,Greater London,SW17 6AT,Tel: 02038835800,34 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y02423004,,,41807 patients,41807,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.13% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.13%,yes,32.39% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.39%,yes,no
Tooting Bec Medical Centre,H85051004,GPB,103 Macmillan Way,Tooting,,London,Greater London,SW17 6AT,Tel: 02086825245,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151954,0,0,18143 patients,18143,,,Yes,yes,N/A - Data not available,,,59.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,59.33%,yes,58.75% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,58.75%,yes,
E12 Medical Centre,F84739,GPB,243 High Street North,,,London,Greater London,E12 6SJ,Tel: 02084702500,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84739,,,4655 patients,4655,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.52% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.52%,yes,26.41% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.41%,yes,
Queens Avenue Practice,F85045,GPB,46 Queens Avenue,Muswell Hill,,London,Greater London,N10 3BJ,Tel: 02088831846,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85045,,,4536 patients,4536,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.53% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.53%,yes,22.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.56%,yes,
Lathom Road Medical Centre,F84070,GPB,2A Lathom Road,East Ham,,London,Greater London,E6 2DU,Tel: 02085485640,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84070,,,6966 patients,6966,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.22%,yes,40.45% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.45%,yes,no
The Staunton Group Practice,F85008,GPB,3-5 Bounds Green Road,Wood Green,,London,Greater London,N22 8HE,Tel: 02038057300,53 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85008,,,14499 patients,14499,,,Yes,yes,YES Contact practice for appointment availability,YES,,10.06% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,10.06%,yes,9.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,9.76%,yes,
Brocklebank Group Practice,H85048,GPB,Brocklebank Health Centre,249 Garratt Lane,,London,Greater London,SW18 4DU,Tel: 0203 818 8270,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85048,,,17135 patients,17135,,,Yes,yes,YES Contact practice for appointment availability,YES,,52.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.78%,yes,48.26% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,48.26%,yes,no
Greenfield Medical Centre,E83006,GPB,143-145 Cricklewood Lane,,,London,Greater London,NW2 1HS,Tel: 02084505454,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83006,,,6829 patients,6829,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.06% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.06%,yes,38.09% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.09%,yes,
The High Road Surgery,F85064,GPB,Stuart Crescent Health Centre,8 Stuart Crescent,Wood Green,London,Greater London,N22 5NJ,Tel: 02088891115,34 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85064,,,5339 patients,5339,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.98%,yes,22.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.94%,yes,
Dr. M. S. Dave & Dr. G. Mangaleswaradevi,F85065,GPB,Stuart Crescent Health Centre.,8 Stuart Crescent,Wood Green,London,Greater London,N22 5NJ,Tel: 02036971760,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85065,,,3282 patients,3282,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.08%,yes,23.05% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.05%,yes,yes
Hammersmith Surgery,E85033,GPB,1 Hammersmith Bridge Road,,,London,Greater London,W6 9DU,Tel: 02087413944,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85033,,,11002 patients,11002,,,Yes,yes,YES Contact practice for appointment availability,YES,,51.97% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,51.97%,yes,51.99% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,51.99%,yes,
Bec Family Practice,H85087001,GPB,62 Upper Tooting Road,Tooting,,London,Greater London,SW17 7PB,Tel: 02086723133,1 rating Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85087001,,,9423 patients,9423,,,Yes,yes,YES Contact practice for appointment availability,YES,,21.17% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.17%,yes,21.12% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.12%,yes,no
East Finchley Medical Centre,E83050,GPB,39 Baronsmere Road,,,London,Greater London,N2 9QD,Tel: 02088831458,28 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83050,,,7932 patients,7932,,,Yes,yes,YES Contact practice for appointment availability,YES,,18.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.28%,yes,19.82% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.82%,yes,
Market Street Health Group,F84004,GPB,52 Market Street,,,London,Greater London,E6 2RA,Tel: 02085482200,30 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84004,,,13799 patients,13799,,,Yes,yes,YES Contact practice for appointment availability,YES,,30.30% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.30%,yes,29.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.96%,yes,yes
Sangam Surgery @ Gladstone Avenue,F84658003,GPB,57 Gladstone Avenue,,,London,Greater London,E12 6NR,Tel: 2084714764,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84658003,,,11288 patients,11288,,,Yes,yes,YES Contact practice for appointment availability,YES,,18.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.79%,yes,18.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.35%,yes,
Rutland House Surgery,F85688,GPB,40 Colney Hatch Lane,Muswell Hill,,London,Greater London,N10 1DU,Tel: 02088838214,29 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85688,,,6956 patients,6956,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.54% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.54%,yes,28.21% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.21%,yes,no
Aldersbrook Medical Centre,F86731,GPB,65 Aldersbrook Road,Manor Park,,London,Greater London,E12 5DL,Tel: 02085188080,39 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86731,,,3817 patients,3817,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.03% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.03%,yes,33.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.92%,yes,yes
Sangam Practice,F84658,GPB,At Greenhill Centre,31A Snowshill Road,Manor Park,London,Greater London,E12 6BE,Tel: 02089118378,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84658,,,11288 patients,11288,,,Yes,yes,YES Contact practice for appointment availability,YES,,18.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.79%,yes,18.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,18.35%,yes,yes
Lime Tree And Sinnott Healthcare,Y01839,GPB,Lime Tree & Sinnott Healthcare Ltd,12B Sinnott Road,Walthamstow,London,Greater London,E17 5QB,Tel: 02087093140,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y01839,,,6328 patients,6328,,,Yes,yes,YES Contact practice for appointment availability,YES,,42.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.68%,yes,42.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.68%,yes,yes
Triveni Pms,G83026,GPB,Escreet Grove,Woolwich,,London,Greater London,SE18 5TE,Tel: 02088540157,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83026,,,7884 patients,7884,,,Yes,yes,YES Contact practice for appointment availability,YES,,14.75% of patients are signed up to this service  - https://www.patient-services.co.uk,14.75%,yes,14.75% of patients are signed up to this service  - https://www.patient-services.co.uk,14.75%,yes,yes
The Hodford Road Practice,E83649,GPB,73 Hodford Road,,,London,Greater London,NW11 8NH,Tel: 02089055234,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83649,,,3881 patients,3881,,,Yes,yes,YES Contact practice for appointment availability,YES,,83.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,83.23%,yes,82.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,82.94%,yes,no
Dr Ghufoor,H85052001,GPB,139 Franciscan Raod,Tooting,,London,Greater London,SW17 8DS,Tel: 02086729980,1 rating Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85052001,,,4852 patients,4852,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.86% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.86%,yes,16.84% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.84%,yes,
Waltham Forest Community And Fhs Ltd,F86644,GPB,The Wood Street Medical Centre,6 Linford Road,,Walthamstow,London,E17 3LA,Tel: 02084307710,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86644,,,10506 patients,10506,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.29% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.29%,yes,38.02% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.02%,yes,yes
Dr Rp Dhital - Dr Dhital Practice,F86086,GPB,6 Linford Road - Off Wood St,Walthamstow,,London,Greater London,E17 3LA,Tel: 02084307750,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86086,,,6107 patients,6107,,,Yes,yes,YES Contact practice for appointment availability,YES,,21.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.15%,yes,21.02% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.02%,yes,yes
Willesden Green Surgery,E84702,GPB,59 Anson Road,,,London,Greater London,NW2 3UY,Tel: 02082084141,24 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E84702,,,4942 patients,4942,,,Yes,yes,YES Contact practice for appointment availability,YES,,53.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,53.79%,yes,54.07% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,54.07%,yes,Data not available
Royal Docks Medical Practice,F84717,GPB,21 East Ham Manor Way,,,London,Greater London,E6 5NA,Tel: 02075114466,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84717,,,10784 patients,10784,,,Yes,yes,YES Contact practice for appointment availability,YES,,58.70% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,58.70%,yes,46.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,46.37%,yes,yes
South Lewisham Group Practice,G85005,GPB,50 Conisborough Crescent,Catford,,London,Greater London,SE6 2SP,Tel: 02030492580,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85005,,,16315 patients,16315,,,Yes,yes,YES Contact practice for appointment availability,YES,,67.73% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,67.73%,yes,66.25% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,66.25%,yes,yes
Shepherds Bush Medical Centre,E85077,GPB,336 Uxbridge Road,Shepherds Bush,,London,Greater London,W12 7LS,Tel: 02087435153,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85077,,,3437 patients,3437,,,Yes,yes,YES Contact practice for appointment availability,YES,,59.89% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,59.89%,yes,59.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,59.92%,yes,no
