Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
"Nuffield Health, Brighton Hospital",NT205,HOS,,Warren Road,Woodingdean,Brighton,,BN2 6DX,Tel: 0800 015 5020,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT205,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574357,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,96.41%,Tick,,,yes,yes
Rosie Hospital,RGT32,HOS,,Robinson Way,,Cambridge,Cambridgeshire,CB2 0QQ,Tel: 01223 245 151,12 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGT32,,,Not yet rated,,doesnotapply,Among the best with a value of 84%,84,tick,Lower number of deaths than expected,0.840,tick,No relevant data available,,doesnotapply,yes,,,
Alton Community Hospital,RW194,HOS,Chawton Park Road,,,Alton,Hampshire,GU34 1RJ,Tel: 030 0003 2196,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW194,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RW194,5,cqc-norating,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,,90.84%,Tick,,,,
Lord Mayor Treloar Hospital,RN502,HOS,Chawton Park Road,,,Alton,Hampshire,GU34 1RJ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RN502,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Number of deaths within the expected range,1.010,ok,No relevant data available,,doesnotapply,,,,
Addenbrooke's,RGT01,HOS,,Hills Road,,Cambridge,Cambridgeshire,CB2 0QQ,Tel: 01223 245151,162 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGT01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RGT01,2,cqc-good,Among the best with a value of 84%,84,tick,Lower number of deaths than expected,0.840,tick,82.81% Among the best,82.81%,Tick,yes,,yes,yes
Southlands Hospital,RYR14,HOS,Upper Shoreham Road,,,Shoreham-By-Sea,West Sussex,BN43 6TQ,Tel: 01903 205111,32 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYR14,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RYR14,2,cqc-good,Among the best with a value of 81%,81,tick,Number of deaths within the expected range,0.987,ok,No relevant data available,,doesnotapply,yes,,yes,no
The Montefiore Hospital,NT364,HOS,,2 Montefiore Road,,Hove,East Sussex,BN3 1RD,Tel: 01273 828 120,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT364,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/1-522837355,1,cqc-outstanding,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,93.67%,Tick,no,,yes,yes
Brighton General Hospital,RXH05,HOS,Elm Grove,,,Brighton,East Sussex,BN2 3EW,Tel: 01273 696011,19 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH05,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RXH05,5,cqc-norating,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,No relevant data available,,doesnotapply,yes,,no,no
BMI The Manor Hospital,NT423,HOS,,Church End,,Biddenham,Bedfordshire,MK40 4AW,Tel: 01234 364252,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT423,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128767002,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.20%,Tick,yes,,yes,yes
Basingstoke and North Hampshire Hospital,RN506,HOS,,Aldermaston Road,,Basingstoke,Hampshire,RG24 9NA,Tel: 01256 473 202,69 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RN506,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RN506,3,cqc-requiresimp,Within expected range with a value of 78%,78,ok,Number of deaths within the expected range,1.010,ok,89.56% Among the best,89.56%,Tick,yes,,yes,no
Parklands Hospital,RW1AC,HOS,,Aldermaston Road,,Basingstoke,Hampshire,RG24 9RH,Tel: 01256 817718,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW1AC,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,92.17% Among the best,92.17%,Tick,,,,
Aldrington Centre,RX205,HOS,35 New Church Road,Aldrington Centre,,Hove,East Sussex,BN3 4AG,Tel: 01273 778383,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX205,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,no,no
"Nuffield Health, Cambridge Hospital",NT209,HOS,Nuffield Health Cambridge Hospital,4 Trumpington Road,,Cambridge,Cambridgeshire,CB2 8AF,Tel: 0800 015 5020,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT209,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/1-115574398,1,cqc-outstanding,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,Data not available
Royal Alexandra Children's Hospital,RXH06,HOS,Eastern Road,,,Brighton,East Sussex,BN2 5BE,Tel: 01273 696955,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH06,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,96.44% Among the best,96.44%,Tick,yes,,yes,no
Royal Sussex County Hospital,RXH01,HOS,Eastern Road,,,Brighton,East Sussex,BN2 5BE,Tel: 01273 696955,176 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RXH01,2,cqc-good,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,95.44% Among the best,95.44%,Tick,yes,,yes,no
Sussex Eye Hospital,RXH07,HOS,Eastern Road,,,Brighton,East Sussex,BN2 5BF,Tel: 01273 696955,63 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH07,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,92.87% Among the best,92.87%,Tick,yes,,yes,no
Fulbourn Hospital,RT113,HOS,,Fulbourn Hospital,Fulbourn,Cambridge,,CB21 5EF,Tel: 01223219400,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RT113,,,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Not available for independent or specialist hospitals,,doesnotapply,85.81% Among the best,85.81%,Tick,yes,,yes,no
Blakelands Hospital,NVC31,HOS,Smeaton Close,Blakelands,,Milton Keynes,Buckinghamshire,MK14 5HR,Tel: 01908 334200,50 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC31,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128732777,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Ida Darwin Hospital,NEN03,HOS,Cambridge Road,Fulbourn,,Cambridge,Cambridgeshire,CB21 5EE,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NEN03,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Meadowfield,RX277,HOS,,Swandean,Arundel Road,Worthing,West Sussex,BN13 3EF,Tel: 01903 843200,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX277,,,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,95.68% Among the best,95.68%,Tick,,,yes,Data not available
Lakeside Hospital,NQ901,HOS,The Lane,Wyboston,,Bedford,Bedfordshire,MK44 3AS,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NQ901,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Brookfields Hospital,RYV01,HOS,,351 Mill Road,,Cambridge,Cambridgeshire,CB1 3DF,Tel: 01223 603051,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYV01,,,Not yet rated,,doesnotapply,Among the best with a value of 82%,82,tick,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Essex County Hospital,RDEEB,HOS,Lexden Road,,,Colchester,Essex,CO3 3NB,Tel: 01206 747474,21 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDEEB,,,Not yet rated,,doesnotapply,Within expected range with a value of 62%,62,ok,Number of deaths within the expected range,1.097,ok,No relevant data available,,doesnotapply,yes,,yes,no
Worthing Hospital,RYR18,HOS,Lyndhurst Road,,,Worthing,West Sussex,BN11 2DH,Tel: 01903 205111,134 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYR18,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RYR18,1,cqc-outstanding,Among the best with a value of 81%,81,tick,Number of deaths within the expected range,0.987,ok,87.44% Among the best,87.44%,Tick,yes,,yes,yes
Arundel & District Hospital,RDRAA,HOS,Arundel & District Hospital,Chichester Road,Arundel,Arundel,Sussex,BN18 0AB,Tel: 01903 882543,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDRAA,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
One Ashford Hospital,AVQ01,HOS,Kennington Road,Willesborough,,Ashford,Kent,TN24 0YS,Tel: 01233 423000,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AVQ01,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Whitstable and Tankerton Hospital,RYYCM,HOS,Whitstable and Tankerton Hospital,Northwood Road,Tankerton,Whitstable,Kent,CT5 2HN,Tel: 01227 594400,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYCM,,,Not yet rated,,doesnotapply,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,87.73% Among the best,87.73%,Tick,,,,
Oaks Hospital,NVC13,HOS,Oaks Place,Mile End Road,,Colchester,Essex,CO4 5XR,Tel: 01206 752 121,18 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC13,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733050,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,90.09%,Tick,yes,,yes,Data not available
The Acre,RX224,HOS,29 Wordsworth Road,Acre Day Hospital,,Worthing,West Sussex,BN11 3NJ,Tel: 0300 304 0055,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX224,,,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,,
William Harvey Hospital (Ashford),RVV01,HOS,Kennington Road,Willesborough,,Ashford,Kent,TN24 0LZ,Tel: 01233 633331,349 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVV01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RVV01,3,cqc-requiresimp,Within expected range with a value of 54%,54,ok,Number of deaths within the expected range,1.085,ok,92.88% Among the best,92.88%,Tick,yes,,yes,yes
Turner Diagnostic Centre,NT9QQ,HOS,Colchester General Hospital,Turner Road,,Colchester,Essex,CO4 5JL,Tel: 01206 744 222,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT9QQ,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,yes,yes
Colchester General Hospital,RDEE4,HOS,Turner Road,,,Colchester,Essex,CO4 5JL,Tel: 01206 747474,239 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDEE4,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RDEE4,3,cqc-requiresimp,Within expected range with a value of 62%,62,ok,Number of deaths within the expected range,1.097,ok,91.88% Among the best,91.88%,Tick,yes,,yes,no
BMI Goring Hall Hospital,NT417,HOS,Bodiam Avenue,Goring-By-Sea,,Worthing,West Sussex,BN12 5AT,Tel: 01903 506699,32 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT417,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128766799,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,90.40%,Tick,yes,,yes,no
St. Leonards Hospital,RMYMF,HOS,Newton Road,,,Sudbury,Suffolk,CO10 2RQ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RMYMF,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 42%,42,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Petersfield Hospital - Southern Health NHS Foundation Trust,RW170,HOS,Swan Street,,,Petersfield,Hampshire,GU32 3LB,Tel: 02382 319000,42 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW170,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RW170,5,cqc-norating,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,,84.35%,Tick,,,,
Littlemore Mental Health Centre,RNU30,HOS,Sandford Road,,Littlemore,Oxford,Oxfordshire,OX4 4XN,Tel: 01865 901000,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNU30,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,94.27%,Tick,,,,
The Fulbrook Centre,RNU75,HOS,Churchill Hospital,Old Road,Headington,Oxford,Oxfordshire,OX3 7JU,Tel: 01865 902400,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNU75,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RNU75,5,cqc-norating,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,94.69%,Tick,,,,
Oxford City Community Hospital,RTH13,HOS,The Fulbrook Centre,"Churchill Hospital, Headley Way",Headington,Oxford,Oxfordshire,OX3 7JU,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTH13,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Number of deaths within the expected range,0.922,ok,No relevant data available,,doesnotapply,,,,
Churchill Hospital,RTH02,HOS,,Old Road,Headington,Oxford,Oxfordshire,OX3 7LE,Tel: 0300 3047777,39 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTH02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RTH02,2,cqc-good,Within expected range with a value of 75%,75,ok,Number of deaths within the expected range,0.922,ok,81.84% Among the best,81.84%,Tick,yes,,yes,no
Buckingham Community Hospital,RXQ61,HOS,,High Street,,Buckingham,,MK18 1NU,Tel: 01280 813243,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ61,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RXQ61,5,cqc-norating,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,84.56% Among the best,84.56%,Tick,,,,
"Nuffield Health, The Manor Hospital, Oxford",NT244,HOS,,Beech Road,Headington,Oxford,Oxfordshire,OX3 7RP,Tel: 0800 015 5020,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT244,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574757,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,92.53%,Tick,yes,,yes,Data not available
Warneford Hospital,RNU33,HOS,Warneford Lane,Headington,,Oxford,Oxfordshire,OX3 7JX,Tel: 01865 901000,13 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNU33,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,87.94%,Tick,,,,
Spire Sussex Hospital,NT309,HOS,,The Ridge,,St. Leonards-on-Sea,,TN37 7RE,Tel: 01424 757400,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT309,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/1-129798431,1,cqc-outstanding,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.36%,Tick,yes,,yes,yes
Conquest Hospital,RXC01,HOS,The Ridge,,,St. Leonards-on-Sea,East Sussex,TN37 7RD,Tel: 01424 755255,153 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXC01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RXC01,3,cqc-requiresimp,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.097,ok,82.89% Among the best,82.89%,Tick,yes,,yes,yes
Bexhill Hospital,RXC03,HOS,,Holliers Hill,,Bexhill-on-Sea,Sussex,TN40 2DZ,Tel: 01424 755255,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXC03,,,Not yet rated,,doesnotapply,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.097,ok,85.27% Among the best,85.27%,Tick,yes,,yes,no
John Radcliffe Hospital,RTH08,HOS,,Headley Way,Headington,Oxford,Oxfordshire,OX3 9DU,Tel: 0300 3047777,116 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTH08,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RTH08,3,cqc-requiresimp,Within expected range with a value of 75%,75,ok,Number of deaths within the expected range,0.922,ok,73.17% Within the middle range,73.17%,OK,yes,,yes,yes
University Hospital Of Wales,RTH18,HOS,C/O John Radcliffe Hospital,Headley Way,Headington,Oxford,,OX3 9DU,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RTH18,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Number of deaths within the expected range,0.922,ok,No relevant data available,,doesnotapply,,,,
Oxford University Hospitals,RGT2V,HOS,John Radcliffe Hospital,Headley Way,Headington,Oxford,Oxfordshire,OX3 9DU,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGT2V,,,Not yet rated,,doesnotapply,Among the best with a value of 84%,84,tick,Lower number of deaths than expected,0.840,tick,No relevant data available,,doesnotapply,,,,
"Rye, Winchelsea & District Memorial Hospital",DC808,HOS,Peasmarsh Road,Rye Foreign,,Rye,East Sussex,TN31 7UD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DC808,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Bicester Community Hospital,RNUCE,HOS,Piggy Lane,,,Bicester,Oxfordshire,OX26 6HT,Tel: 01865 903880,7 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNUCE,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RNUCE,5,cqc-norating,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,89.63%,Tick,,,,
St Richard's Hospital,RYR16,HOS,Spitalfield Lane,,,Chichester,West Sussex,PO19 6SE,Tel: (01243) 788122   ,126 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYR16,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RYR16,1,cqc-outstanding,Among the best with a value of 81%,81,tick,Number of deaths within the expected range,0.987,ok,88.61% Among the best,88.61%,Tick,yes,,yes,no
"Nuffield Health, Chichester Hospital",NT212,HOS,,78 Broyle Road,,Chichester,,PO19 6WB,Tel: 0800 015 5020,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT212,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574439,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,90.10%,Tick,yes,,,
Bognor Regis War Memorial Hospital,RDR2V,HOS,Bognor Regis War Memorial Hospital,Shripney Road,,Bognor Regis,,PO22 9PP,Tel: 01243 865418,30 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDR2V,,,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,94.20% Among the best,94.20%,Tick,,,,
Brackley Cottage Hospital,RP1M2,HOS,Pebble Lane,,,Brackley,Northamptonshire,NN13 7DA,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RP1M2,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Spire Portsmouth Hospital,NT305,HOS,Bartons Road,,,Havant,Hampshire,PO9 5NP,Tel: 02392 456 172,10 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT305,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-129798357,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,95.10%,Tick,yes,,yes,yes
Emsworth Hospital,RHU16,HOS,Victoria Cottage Hospital,North Street,,Emsworth,Hampshire,PO10 7DD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHU16,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Number of deaths within the expected range,1.035,ok,No relevant data available,,doesnotapply,,,,
Victoria Cottage Hospital,RW15R,HOS,North Street,,,Emsworth,Hampshire,PO10 7DD,Tel: 01243 376041,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW15R,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Elmleigh Hospital,R1CM8,HOS,61A New Lane,,,Havant,Hampshire,PO9 2JJ,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1CM8,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 76%,76,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
West Suffolk Hospital,RGR50,HOS,Hardwick Lane,Hardwick Lane,,Bury St. Edmunds,Suffolk,IP33 2QZ,Tel: 01284 713000,174 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGR50,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RGR50,1,cqc-outstanding,Among the best with a value of 86%,86,tick,Number of deaths within the expected range,0.918,ok,93.99% Among the best,93.99%,Tick,yes,,yes,yes
Queen Alexandra Hospital,RHU03,HOS,Southwick Hill Road,Cosham,,Portsmouth,Hampshire,PO6 3LY,Tel: 023 9228 6000,400 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHU03,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RHU03,3,cqc-requiresimp,Within expected range with a value of 69%,69,ok,Number of deaths within the expected range,1.035,ok,92.79% Among the best,92.79%,Tick,yes,,yes,yes
St James,R1CF2,HOS,Locksway Road,,,Southsea,Hampshire,PO4 8LD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1CF2,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1CF2,5,cqc-norating,Within expected range with a value of 76%,76,ok,Not available for independent or specialist hospitals,,doesnotapply,,97.11%,Tick,,,,
St Mary,RHU02,HOS,West Wing,Milton Road,,Portsmouth,Hampshire,PO3 6AD,Tel: 02392 680000,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHU02,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/RHU02,5,cqc-norating,Within expected range with a value of 69%,69,ok,Number of deaths within the expected range,1.035,ok,No relevant data available,,doesnotapply,yes,,,
Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,RHU10,HOS,Bury Road,Gosport,,Gosport,Hampshire,PO12 3PW,Tel: 02392 524611,50 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHU10,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RHU10,5,cqc-norating,Within expected range with a value of 69%,69,ok,Number of deaths within the expected range,1.035,ok,No relevant data available,,doesnotapply,no,,,
